original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
AAKN02032906	n.s.	Guinea pig (Cavia porcellus)	58083-59816	AAKN02032906.1_58104-59804:-	-	U34253	3.00E-63	5.70E-23	297-1862	NA	ssDNA	Parvovirus	NA	NA	NA	AAKN02_EVE004	high	100	viral (20)	VDB (15), UDB Viruses (5)	1.15E-89	32.7	NS1 protein [Protoparvovirus sp.] acc=UPH39292.1	NS1 protein [Protoparvovirus sp.] acc=UPH39292.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus sp.	Cossaviricota		
AAKN02032908	n.s.	Guinea pig (Cavia porcellus)	10674-12353	AAKN02032908.1_10674-12350:+	+	AF036710	9.00E-58	1.40E-25	306-1862	NA	ssDNA	Parvovirus	NA	NA	NA	AAKN02_EVE005	high	100	viral (20)	VDB (15), UDB Viruses (5)	2.29E-87	31.2	NS1 [Bufavirus-3] acc=BAO56906.1	NS1 [Bufavirus-3] acc=BAO56906.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-3	Cossaviricota		
AAKN02035362	n.s.	Guinea pig (8)	8370-9796	AAKN02035362.1_8370-9796:+	+	DQ335246.2	4.00E-168	1.60E-87	321-1760	NA	ssDNA	Dependovirus	NA	NA	NA	AAKN02_EVE019	high	94	viral (19), non-viral (1)	VDB (16), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	1.43E-210	62.9	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota		
AAKN02042182	n.s.	Guinea pig	3227-3797	AAKN02042182.1_2881-3933:+	+	AY374542	7.00E-26	3.70E-37	435-1061	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAKN02_EVE020	high	94	viral (19), non-viral (1)	endogenous (9), VDB (7), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	3.43E-58	40.7	p40 [Variegated squirrel bornavirus 1] acc=CEK41887.1	p40 [Variegated squirrel bornavirus 1] acc=CEK41887.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus sciuri	Chordata		
AAKN02045644	n.s.	(Cavia porcellus)	16301-19700	AAKN02045644.1_17781-18921:-	-	DQ335246	2.00E-22	2.70E-12	934-4338	NA	ssDNA	Dependovirus	NA	NA	NA	AAKN02_EVE009	high	100	viral (22)	VDB (20), capsid (1), UDB Viruses (1)	5.22E-44	39.1	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota		
AAKN02045644	n.s.	(Cavia porcellus)	16301-19700	AAKN02045644.1_19152-19774:-	-	DQ335246	2.00E-22	2.70E-12	934-4338	NA	ssDNA	Dependovirus	NA	NA	NA	AAKN02_EVE010	high	100	viral (6)	VDB (5), UDB Viruses (1)	1.06E-09	33.6	Rep 52 protein n=1 Tax=Adeno-associated virus  RepID=A0A8A4YHG0_9VIRU	Rep 52 protein n=1 Tax=Adeno-associated virus  RepID=A0A8A4YHG0_9VIRU	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Adeno-associated virus	Cossaviricota		
AAKN02045644	n.s.	(Cavia porcellus)	16301-19700	AAKN02045644.1_16237-17081:-	-	DQ335246	2.00E-22	2.70E-12	934-4338	NA	ssDNA	Dependovirus	NA	NA	NA	AAKN02_EVE008	high	100	viral (20)	VDB (18), capsid (1), UDB Viruses (1)	3.68E-34	38.2	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota		
AAKN02055888	n.s.	Guinea pig (Cavia porcellus)	79584-82768	AAKN02055888.1_80714-82750:+	+	AY390557	3.00E-64	4.70E-23	1200-4413	NA	ssDNA	Parvovirus	NA	NA	NA	AAKN02_EVE016	high	100	viral (20)	VDB (15), UDB Viruses (4), capsid (1)	6.04E-58	31.1	capsid protein VP1 [Porcine parvovirus] acc=BAA00502.1	capsid protein VP1 [Porcine parvovirus] acc=BAA00502.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus ungulate1	Cossaviricota		
AAKN02055888	n.s.	Guinea pig (Cavia porcellus)	79584-82768	AAKN02055888.1_79605-80330:+	+	AY390557	3.00E-64	4.70E-23	1200-4413	NA	ssDNA	Parvovirus	NA	NA	NA	AAKN02_EVE015	high	100	viral (20)	VDB (16), UDB Viruses (4)	3.68E-69	50.6	NS1 [Equine protoparvovirus] acc=QXQ21750.1	NS1 [Equine protoparvovirus] acc=QXQ21750.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Equine protoparvovirus	Cossaviricota		
AAQR01574020	n.s.	Small-eared galago (Otolemur garnetti)	2755-3258	AAQR01574020.1_2623-3501:-	-	FJ792853	2.00E-17	1.20E-18	534-1022	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAQR01_EVE109	low	30	maybe-viral (1), non-viral (1), viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), uncharacterized protein (1)	2.83E-114	57.1	Nucleoprotein n=1 Tax=Myotis brandtii  RepID=S7PTE0_MYOBR	Nucleoprotein n=1 Tax=finepatterned puffer bornavirus  RepID=A0AA48P913_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__unclassified Bornaviridae genus;s__finepatterned puffer bornavirus	Chordata		
AAWU01016427	n.s.	Southern house mosquito	47658-48827	AAWU01016427.1_47552-48860:+	+	AF523194	5.00E-24	8.40E-47	223-1314	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAWU01_EVE044	high	50	non-viral (1), viral (1)	annotated protein of unclassified root superkingdom (1), VDB (1)	9.75E-230	71.1	nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1	nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus tritaeniorhynchus	Negarnaviricota		
ABAR01000142.1	gcontig_1105668339668	Talaromyces marneffei ATCC 18224	1-1929	ABAR01000272.1_2-1063:-	+	n.s.	n.s.	n.s.	n.s.	CP	dsRNA	Totivirus				ABAR01_EVE001	high	95	viral (22), non-viral (1)	VDB (15), UDB Viruses (7), annotated protein of unclassified root superkingdom (1)	1.44E-134	55.9	RNA-dependent RNA polymerase [Geotrichum candidum totivirus 2] acc=UUT40377.1	RNA-dependent RNA polymerase [Geotrichum candidum totivirus 2] acc=UUT40377.1	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Geotrichum candidum totivirus 2	Duplornaviricota		
ABAR01000142.1	gcontig_1105668339668	Talaromyces marneffei ATCC 18224	1-1929	ABAR01000142.1_277-2154:-												ABAR01_EVE002	high	94	viral (16), non-viral (1)	VDB (7), UDB Viruses (5), coat (3), annotated protein of unclassified root superkingdom (1), capsid (1)	2.41E-288	98	Major coat protein L-A virus domain-containing protein n=1 Tax=Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333)  RepID=B6QWN5_TALMQ	Capsid protein n=1 Tax=Tuber aestivum virus 1  RepID=E5KIN6_9VIRU	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Tuber aestivum virus 1	Duplornaviricota		
ABAR01000272.1	gcontig_1105668340678	Talaromyces marneffei ATCC 18224	1788-3116	ABAR01000103.1_2419-2556:+	+	n.s.	n.s.	n.s.	n.s.	RdRp	dsRNA	Totivirus				ABAR01_EVE003	low	16	maybe-viral (16), non-viral (4)	uncharacterized protein (16), annotated protein of Eukaryota (4)	2.85E-21	91.1	Uncharacterized protein n=1 Tax=Colletotrichum higginsianum (strain IMI 349063)  RepID=H1W183_COLHI	NA	NA	unclassified Fungi phylum		
ABDC01288276	n.s.	Grey mouse lemur	15251-16019	ABDC01288276.1_15251-16142:-	-	FJ169440	1.00E-31	1.70E-29	78-839	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABDC01_EVE081	high	91	viral (18), non-viral (2)	endogenous (9), VDB (7), UDB Viruses (2), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	1.66E-52	36.9	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	nucleoprotein [Mexican black-tailed rattlesnake bornavirus] acc=YP_010798895.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus caenophidiae	Chordata		
ABDC01288276	n.s.	(Microcebus murinus)	14606-14946	ABDC01288276.1_14606-14946:-	-	FJ169441	2.00E-13	N/A	1893-2261	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABDC01_EVE021	high	100	viral (7)	VDB (4), UDB Viruses (3)	4.88E-28	48	matrix protein [Loveridges garter snake virus 1] acc=YP_009055061.1	matrix protein [Loveridges garter snake virus 1] acc=YP_009055061.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus elapsoideae	Negarnaviricota		
ABJB010059001	n.s.	(Ixodes scapularis)	41-724	ABJB010059001.1_14-733:-	-	AY840978	1.00E-35	2.50E-52	634-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE256	high	53	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	1.28E-165	99.6	Nucleoprotein (Fragment) n=3 Tax=Ixodes scapularis  RepID=B7PPY5_IXOSC	Nucleoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0A977TMR5_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota		
ABJB010108447	n.s.	(Ixodes scapularis)	4353-5566	ABJB010108447.1_4276-5789:-	-	D10759	3.00E-58	3.80E-13	1589-2656	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB01_EVE014	high	100	viral (10)	VDB (7), UDB Viruses (3)	1.14E-192	62.1	L [Blacklegged tick phlebovirus 3] acc=YP_010086238.1	L [Blacklegged tick phlebovirus 3] acc=YP_010086238.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Ixovirus;s__Ixovirus ixodis	Negarnaviricota		
ABJB010116450	n.s.	(Ixodes scapularis)	644-1204	ABJB010116450.1_644-1837:-	-	EF201818	2.00E-09	4.80E-20	47-601	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB01_EVE158	high	90	viral (7), non-viral (1)	VDB (4), UDB Viruses (3), annotated protein of Eukaryota (1)	2.88E-133	49.2	N protein [Blacklegged tick phlebovirus 1] acc=AII01802.1	N protein [Blacklegged tick phlebovirus 1] acc=AII01802.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Ixovirus;s__Ixovirus heckscherense	Negarnaviricota		
ABJB010142368	n.s.	(Ixodes scapularis)	141-1115	ABJB010142368.1_2-1115:+	+	AY074804	4.00E-71	7.30E-44	5582-6553	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE019	high	100	viral (20)	VDB (13), UDB Viruses (7)	2.05E-159	66.6	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Tahe rhabdovirus 3	Negarnaviricota		
ABJB010284780	n.s.	(Ixodes scapularis)	8704-9246	ABJB010284780.1_8619-9811:-	-	EF201818	43-05	1.30E-10	185-520	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB01_EVE210	high	72	viral (3), maybe-viral (2)	uncharacterized protein (2), VDB (2), UDB Viruses (1)	3.23E-105	47.1	Nucleoprotein n=2 Tax=Phenuiviridae  RepID=A0A7S8IUE5_9VIRU	Nucleoprotein n=2 Tax=Phenuiviridae  RepID=A0A7S8IUE5_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__unclassified Phenuiviridae species	Negarnaviricota		
ABJB010284780	n.s.	(Ixodes scapularis)	10845-11495	ABJB010284780.1_10803-11768:-	-	AF504294	7.00E-15	1.40E-11	965-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB01_EVE202	high	76	viral (5), maybe-viral (1), non-viral (1)	VDB (4), annotated protein of unclassified root superkingdom (1), UDB Viruses (1), uncharacterized protein (1)	3.31E-147	63.7	N protein [South Bay virus] acc=AII01798.1	N protein [South Bay virus] acc=AII01798.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Nairoviridae;g__Sabavirus;s__Sabavirus americanum	Negarnaviricota		
ABJB010430317	n.s.	(Ixodes scapularis)	553-1791	ABJB010430317.1_526-1842:-	-	EF612701	1.00E-52	1.90E-77	142-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE278	high	42	maybe-viral (2), non-viral (2), viral (2)	annotated protein of Eukaryota (2), uncharacterized protein (2), UDB Viruses (1), VDB (1)	3.91E-171	89.5	uncharacterized protein LOC121832889 n=1 Tax=Ixodes scapularis  RepID=UPI001C39565B	Nucleoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0A977TMR5_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Arthropoda		
ABJB010440982	n.s.	(Ixodes scapularis)	3146-4372	ABJB010440982.1_3122-4432:-	-	EF612701	1.00E-42	1.10E-75	118-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE263	high	51	maybe-viral (2), non-viral (2), viral (2)	annotated protein of Eukaryota (2), uncharacterized protein (2), UDB Viruses (1), VDB (1)	1.01E-172	57	Nucleoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0A977TMR5_9RHAB	Nucleoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0A977TMR5_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Arthropoda		
ABJB010460423	n.s.	(Ixodes scapularis)	8633-9634	ABJB010460423.1_8624-10911:-	-	D10759	3.00E-29	3.90E-08	1208-2248	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB01_EVE061	high	100	viral (8)	VDB (6), UDB Viruses (2)	5.17E-305	63.3	RNA-dependent RNA polymerase [Onega tick phlebovirus] acc=WIM33125.1	RNA-dependent RNA polymerase [Onega tick phlebovirus] acc=WIM33125.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Phlebovirus;s__Onega tick phlebovirus	Negarnaviricota		
ABJB010465412	n.s.	(Ixodes scapularis)	3-1226	ABJB010465412.1_3-1734:+	+	EU373658	8.00E-91	4.90E-33	7523-8695	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE063	high	100	viral (20)	VDB (14), UDB Viruses (6)	1.40E-217	59.3	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota		
ABJB010470763	n.s.	(Ixodes scapularis)	553-1110	ABJB010470763.1_367-1266:-	-	NA	NA	NA	50-604	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB01_EVE160	high	90	viral (7), non-viral (1)	VDB (4), UDB Viruses (3), annotated protein of Eukaryota (1)	7.38E-131	64.8	nucleocapsid protein [Norway phlebovirus 1] acc=YP_010086239.1	nucleocapsid protein [Norway phlebovirus 1] acc=YP_010086239.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Ixovirus;s__Ixovirus norvegiae	Negarnaviricota		
ABJB010495030	n.s.	(Ixodes scapularis)	1303-1845	ABJB010495030.1_1165-2805:-	-	AF504294	3.00E-16	1.20E-09	953-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB01_EVE185	high	80	viral (4), non-viral (1)	VDB (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	4.82E-305	77.1	N protein [South Bay virus] acc=AII01798.1	N protein [South Bay virus] acc=AII01798.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Nairoviridae;g__Sabavirus;s__Sabavirus americanum	Negarnaviricota		
ABJB010497108	n.s.	(Ixodes scapularis)	118-681	ABJB010497108.1_3-930:-	-	M33551	1.00E-60	3.20E-21	47-604	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB01_EVE157	high	91	viral (7), non-viral (1)	VDB (4), UDB Viruses (3), annotated protein of Eukaryota (1)	6.26E-164	77.9	N protein [Blacklegged tick phlebovirus 1] acc=AII01802.1	N protein [Blacklegged tick phlebovirus 1] acc=AII01802.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Ixovirus;s__Ixovirus heckscherense	Negarnaviricota		
ABJB010497283	n.s.	Blacklegged tick	5-1402	ABJB010497283.1_2-1540:+	+	M86624	2.00E-18	2.50E-09	167-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB01_EVE194	high	79	viral (3), non-viral (1)	VDB (3), annotated protein of unclassified root superkingdom (1)	0	97.1	N protein [South Bay virus] acc=AII01798.1	N protein [South Bay virus] acc=AII01798.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Nairoviridae;g__Sabavirus;s__Sabavirus americanum	Negarnaviricota		
ABJB010498712	n.s.	(Ixodes scapularis)	800-1372	ABJB010498712.1_662-2145:-	-	AF504294	3.00E-15	1.70E-10	923-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB01_EVE187	high	80	viral (4), non-viral (1)	VDB (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	6.45E-285	77	N protein [South Bay virus] acc=AII01798.1	N protein [South Bay virus] acc=AII01798.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Nairoviridae;g__Sabavirus;s__Sabavirus americanum	Negarnaviricota		
ABJB010532089	n.s.	(Ixodes scapularis)	4-2151	ABJB010532089.1_4-2286:-	-	EU373657	7.00E-177	2.20E-140	4832-6913	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE069	high	100	viral (21)	VDB (15), UDB Viruses (6)	0	70.1	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Tahe rhabdovirus 3	Negarnaviricota		
ABJB010547597	n.s.	(Ixodes scapularis)	5011-5487	ABJB010547597.1_4716-5625:-	-	EF201817	4.00E-11	8.70E-18	50-520	NA	negative sense RNA	Phlebovirus	NA	NA	NA	ABJB01_EVE188	high	80	viral (7), maybe-viral (1), non-viral (1)	VDB (4), UDB Viruses (3), annotated protein of Eukaryota (1), uncharacterized protein (1)	5.31E-142	100	N protein, putative n=1 Tax=Ixodes scapularis  RepID=B7PZL7_IXOSC	nucleocapsid protein [Sara tick phlebovirus] acc=UXX19195.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Phlebovirus;s__Sara tick phlebovirus	Negarnaviricota		
ABJB010703762	n.s.	(Ixodes scapularis)	2-3664	ABJB010703762.1_5-3664:-	-	AY074804	0	6.90E-99	6827-10417	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE096	high	100	viral (21)	VDB (15), UDB Viruses (6)	0	70.7	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Tahe rhabdovirus 3	Negarnaviricota		
ABJB010725326	n.s.	(Ixodes scapularis)	3239-4489	ABJB010725326.1_3209-4501:-	-	EF612701	3.00E-52	4.50E-88	118-1302	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE937	low	11	maybe-viral (1), non-viral (1)	annotated protein of Eukaryota (1), uncharacterized protein (1)	5.03E-305	99.1	uncharacterized protein LOC8038750 n=1 Tax=Ixodes scapularis  RepID=UPI001AD71702	NA	NA	Arthropoda		
ABJB010759113	n.s.	(Ixodes scapularis)	8220-9458	ABJB010759113.1_8193-9479:-	-	EF612701	1.00E-55	8.10E-74	142-1305	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE276	high	43	maybe-viral (2), non-viral (2), viral (2)	annotated protein of Eukaryota (2), uncharacterized protein (2), UDB Viruses (1), VDB (1)	1.64E-172	95.3	uncharacterized protein LOC121832889 n=1 Tax=Ixodes scapularis  RepID=UPI001C39565B	Nucleoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0A977TMR5_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Arthropoda		
ABJB010759113	n.s.	Blacklegged tick	1728-7719	ABJB010759113.1_1260-7857:-	-	AY074803	0	7.80E-238	4832-10690	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	ABJB01_EVE107	high	100	viral (20)	VDB (15), UDB Viruses (5)	0	68.4	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	polymerase [Tahe rhabdovirus 3] acc=UXX19018.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Tahe rhabdovirus 3	Negarnaviricota		
ABJB010794785	n.s.	Blacklegged tick	7898-9823	ABJB010794785.1_7822-8416:-	-	FJ861694	6.00E-80	8.10E-24	145-1416	NA	negative sense RNA	Quarjavirus	NA	NA	NA	ABJB01_EVE113	high	100	viral (21)	VDB (12), UDB Viruses (9)	4.55E-81	61.3	HA [Granville quaranjavirus] acc=UAJ23567.1	HA [Granville quaranjavirus] acc=UAJ23567.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Granville quaranjavirus	Negarnaviricota		
ABJB011017495	n.s.	(Ixodes scapularis)	309-881	ABJB011017495.1_240-1268:-	-	AF504294	6.00E-18	8.50E-09	923-1501	NA	negative sense RNA	Nairovirus	NA	NA	NA	ABJB01_EVE172	high	82	viral (5), non-viral (1)	VDB (4), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	1.11E-143	58.9	N protein [South Bay virus] acc=AII01798.1	N protein [South Bay virus] acc=AII01798.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Nairoviridae;g__Sabavirus;s__Sabavirus americanum	Negarnaviricota		
ABQO010047515	n.s.	(Macropus eugenii)	2130-2437	ABQO010047515.1_2073-2437:-	-	FJ743676	6.00E-14	1.30E-23	1214-1531	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE100	high	95	viral (19), non-viral (1)	VDB (14), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	1.47E-19	41.6	nucleoprotein [Bundibugyo ebolavirus] acc=QNC49530.1	nucleoprotein [Bundibugyo ebolavirus] acc=QNC49530.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus bundibugyoense	Negarnaviricota		
ABQO010048551	n.s.	(Macropus eugenii)	2831-3489	ABQO010048551.1_2831-3489:+	+	FJ217161	4.00E-30	1.20E-46	635-1231	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE101	high	95	viral (20), non-viral (1)	VDB (16), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	1.14E-40	39.9	nucleoprotein [Reston ebolavirus] acc=AYP10275.1	nucleoprotein [Reston ebolavirus] acc=AYP10275.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus restonense	Negarnaviricota		
ABQO010059570	n.s.	(Macropus eugenii)	4449-5075	ABQO010059570.1_4403-5131:-	-	U22967	3.00E-25	3.40E-09	783-1532	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE094	high	96	viral (22), non-viral (1)	VDB (19), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	4.21E-36	36.2	replication protein [Parvoviridae sp.] acc=QKE54950.1	replication protein [Parvoviridae sp.] acc=QKE54950.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Parvoviridae sp.	Cossaviricota		
